0;30552652;
1;31046560;
2;31490770;
3;31524178;
4;31984416;
5;32454648;
6;32935830;
7;33423254;
8;33811530;
9;34301558;
10;34787802;
11;35087962;
12;35549532;
13;35901426;
14;35989866;
15;36272606;
16;36315242;
17;36679946;
18;36996878;
19;37475926;
20;37911976;
21;38406984;
22;38877308;
23;39355468;
24;39841918;
25;40270774;
26;40755882;
27;41235762;
28;41244362;
29;41717042;
30;42181022;
31;42661352;
32;43134376;
33;43615556;
34;44061106;
35;44347966;
36;44403762;
37;44868402;
38;44874674;
39;45134838;
40;45608526;
41;46051144;
42;46502504;
43;46968432;
44;47409752;
45;47870444;
46;48305372;
47;48759148;
48;48776568;
49;49209748;
50;49629430;
51;50033250;
52;50275026;
53;50718930;
54;51048042;
55;51350138;
56;51633314;
57;51833644;
58;51873844;
59;51983820;
60;51985440;
61;52133720;
62;52238258;
63;52255700;
64;52605440;
65;52605440;
66;53078654;
67;53285908;
68;53636922;
69;53962706;
70;54343034;
71;54573476;
72;54758558;
73;55069818;
74;55399482;
75;55426376;
76;55512434;
77;55719186;
78;55740082;
79;55837634;
80;55837802;
81;55991186;
82;56013194;
83;56180242;
84;56501384;
85;56538904;
86;56732944;
87;56977552;
88;57110320;
89;57286210;
90;57363010;
91;57371720;
92;57426152;
93;57704360;
94;57909320;
95;58149300;
96;58318970;
97;58328190;
98;58460814;
99;58494236;
100;58549436;
101;58592424;
102;58593696;
103;58595104;
104;58642944;
105;58805968;
106;58880692;
107;58927492;
108;59102736;
109;59145768;
110;59207656;
111;59212912;
112;59245204;
113;59246800;
114;59390560;
115;59415008;
116;59416464;
117;59451816;
118;59624376;
119;59666748;
120;59688506;
121;59705886;
122;59706150;
123;59714250;
124;59714930;
125;59808400;
126;59808784;
127;59914006;
128;59933206;
129;60253826;
130;60273074;
131;60317474;
132;60361186;
133;60385756;
134;60386284;
135;60393084;
136;60404012;
137;60404236;
138;60411096;
139;60411278;
140;60425038;
141;60425326;
142;60425558;
143;60425558;
144;60425678;
145;60426574;
146;60426754;
147;60427244;
148;60457296;
149;60457868;
150;60465148;
151;60465308;
152;60466028;
153;60512044;
154;60512132;
155;60513668;
156;60513728;
157;60513908;
158;60513964;
159;60514022;
160;60514060;
161;60514192;
162;60514224;
163;60514272;
164;60515040;
165;60517614;
166;60517628;
167;60517644;
168;60517652;
169;60517656;
170;60517676;
171;60517684;
172;60517690;
173;60517694;
174;60517694;
175;60517694;
176;60517694;
177;60517694;
178;60517694;
179;60518054;
180;60518054;
181;60518054;
182;60518054;
183;60518054;
184;60518054;
185;60518076;
186;60518076;
187;60518076;
188;60518076;
189;60518076;
190;60518076;
191;60518076;
192;60518076;
193;60518076;
194;60518076;
195;60518076;
196;60518076;
197;60518076;
198;60518076;
199;60518076;
200;60518076;
201;60518076;
202;60518076;
203;60518076;
204;60518076;
205;60518076;
206;60518076;
207;60518076;
208;60518076;
209;60518076;
210;60518076;
211;60518076;
212;60518076;
213;60518076;
214;60518076;
215;60518076;
216;60518076;
217;60518076;
218;60518076;
219;60518076;
220;60518076;
221;60518076;
222;60518076;
223;60518076;
224;60518076;
225;60518076;
226;60518076;
227;60518076;
228;60518076;
229;60518076;
230;60518076;
231;60518076;
232;60518076;
233;60546994;
234;60547030;
235;60547030;
236;60547030;
237;60547030;
238;60547030;
239;60547030;
240;60547030;
241;60547030;
242;60547030;
243;60547030;
244;60547030;
245;60547030;
246;60547030;
247;60547030;
248;60547030;
249;60547030;
250;60547030;
251;60547030;
252;60547030;
253;60547030;
254;60547030;
255;60547030;
256;60547030;
257;60547030;
258;60547030;
259;60547030;
260;60547030;
261;60547030;
262;60547030;
263;60547030;
264;60547030;
265;60547030;
266;60547030;
267;60547030;
268;60547030;
269;60547030;
270;60547030;
271;60547030;
272;60547030;
273;60547030;
274;60547030;
275;60547030;
276;60547030;
277;60547030;
278;60547030;
279;60547030;
280;60547030;
281;60547030;
282;60547030;
283;60547030;
284;60547030;
285;60547030;
286;60547030;
287;60547030;
288;60547030;
289;60547030;
290;60547030;
291;60547030;
292;60548608;
293;60548608;
294;60548608;
295;60548608;
296;60548608;
297;60548608;
298;60548608;
299;60548608;
300;60548608;
301;60548608;
302;60548608;
303;60548608;
304;60548608;
305;60548608;
306;60548608;
307;60548608;
308;60548608;
309;60548608;
310;60548608;
311;60548608;
312;60548608;
313;60548608;
314;60548608;
315;60548608;
316;60548608;
317;60548608;
318;60548608;
319;60548608;
320;60548608;
321;60548608;
322;60548608;
323;60548608;
324;60548608;
325;60548608;
326;60548608;
327;60548608;
328;60548608;
329;60548608;
330;60548608;
331;60548608;
332;60548608;
333;60548608;
334;60548608;
335;60548608;
336;60548608;
337;60548608;
338;60548608;
339;60548608;
340;60548608;
341;60548608;
342;60548608;
343;60548608;
344;60548608;
345;60548608;
346;60548608;
347;60548608;
348;60548608;
349;60548608;
350;60548608;
351;60548608;
352;60548608;
353;60548608;
354;60548608;
355;60548608;
356;60548608;
357;60548608;
358;60548608;
359;60548608;
360;60548608;
361;60548608;
362;60548608;
363;60548608;
364;60548608;
365;60548608;
366;60548608;
367;60548608;
368;60548608;
369;60548608;
370;60548608;
371;60548608;
372;60548608;
373;60548608;
374;60548608;
375;60548608;
376;60548608;
377;60548608;
378;60548608;
379;60548608;
380;60548608;
381;60548608;
382;60548608;
383;60548608;
384;60548608;
385;60548608;
386;60548608;
387;60548608;
388;60548608;
389;60548608;
390;60548608;
391;60548608;
392;60548608;
393;60548608;
394;60548608;
395;60548608;
396;60548608;
397;60548608;
398;60548608;
399;60548608;
